"chr","QTL","pos_lo","pos_hi","TRAIT","locusName","start","end","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline"
"Chr02N","2N@54.01",41036788,52128118,"K39","Pavir.2NG076800",49203493,49204036,"","","","",""
"Chr02N","2N@54.01",41036788,52128118,"K39","Pavir.2NG077200",49174035,49179462,"AT4G33580","ATBCA5,BCA5","beta carbonic anhydrase 5","LOC_Os09g28910","carbonic anhydrase, chloroplast precursor, putative, expressed"
"Chr02N","2N@54.01",41036788,52128118,"K39","Pavir.2NG077203",49185651,49190532,"AT5G49700","","Predicted AT-hook DNA-binding family protein","LOC_Os09g28930","DNA binding protein, putative, expressed"
"Chr02N","2N@54.01",41036788,52128118,"K39","Pavir.2NG077300",49173069,49174851,"AT3G56770","","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","LOC_Os09g28900","basic helix-loop-helix, putative, expressed"
"Chr02N","2N@54.01",41036788,52128118,"K39","Pavir.2NG077600",49167725,49171169,"AT2G01710","","Chaperone DnaJ-domain superfamily protein","LOC_Os09g28890","transposon protein, putative, CACTA, En/Spm sub-class, expressed"
"Chr02N","2N@54.01",41036788,52128118,"K39","Pavir.2NG129200",41072639,41076847,"AT3G14470","","NB-ARC domain-containing disease resistance protein","LOC_Os01g15580","disease resistance protein RGA2, putative, expressed"
"Chr02N","2N@54.01",41036788,52128118,"K39","Pavir.2NG129203",41105323,41120179,"AT3G14460","","LRR and NB-ARC domains-containing disease resistance protein","LOC_Os01g15580","disease resistance protein RGA2, putative, expressed"
"Chr02N","2N@54.01",41036788,52128118,"K39","Pavir.2NG129206",41140208,41143976,"AT1G43760","","DNAse I-like superfamily protein","LOC_Os11g05030","expressed protein"
"Chr02N","2N@54.01",41036788,52128118,"K39","Pavir.2NG137709",41068673,41068896,"","","","",""
"Chr02N","2N@54.01",41036788,52128118,"K39","Pavir.2NG154500",48364361,48365350,"AT1G47480","","alpha/beta-Hydrolases superfamily protein","LOC_Os09g28280","gibberellin receptor GID1L2, putative, expressed"
"Chr02N","2N@54.01",41036788,52128118,"K39","Pavir.2NG154503",48389883,48390371,"","","","LOC_Os03g61460","hypothetical protein"
"Chr02N","2N@54.01",41036788,52128118,"K39","Pavir.2NG273700",46565798,46566752,"AT5G20820","","SAUR-like auxin-responsive protein family ","LOC_Os09g26590","OsSAUR37 - Auxin-responsive SAUR gene family member, expressed"
"Chr02N","2N@54.01",41036788,52128118,"K39","Pavir.2NG304000",41304814,41314354,"AT3G10530","","Transducin/WD40 repeat-like superfamily protein","LOC_Os01g08770","WD domain, G-beta repeat domain containing protein, expressed"
"Chr02N","2N@54.01",41036788,52128118,"K39","Pavir.2NG304003",41311188,41311517,"","","","",""
"Chr02N","2N@54.01",41036788,52128118,"K39","Pavir.2NG304006",41316294,41317324,"","","","",""
"Chr02N","2N@54.01",41036788,52128118,"K39","Pavir.2NG304009",41358565,41360569,"AT4G39780","","Integrase-type DNA-binding superfamily protein","LOC_Os09g20350","ethylene-responsive transcription factor, putative, expressed"
"Chr02N","2N@54.01",41036788,52128118,"K39","Pavir.2NG304200",41282236,41283092,"","","","",""
"Chr02N","2N@54.01",41036788,52128118,"K39","Pavir.2NG304203",41284055,41284644,"","","","",""
"Chr02N","2N@54.01",41036788,52128118,"K39","Pavir.2NG304400",41274041,41277647,"AT1G19780","ATCNGC8,CNGC8","cyclic nucleotide gated channel  8","LOC_Os12g28260","cyclic nucleotide-gated ion channel, putative, expressed"
