"chr","QTL","pos_lo","pos_hi","TRAIT","locusName","start","end","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG033600",50637471,50639897,"AT1G66160","ATCMPG1,CMPG1","CYS, MET, PRO, and GLY protein 1","LOC_Os02g50460","immediate-early fungal elicitor protein CMPG1, putative, expressed"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG033800",50581938,50582765,"","","","",""
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG033805",50609990,50610208,"","","","LOC_Os02g50430","expressed protein"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG033810",50612759,50613040,"","","","",""
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG033815",50615770,50616391,"","","","LOC_Os02g50430","expressed protein"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG033820",50620540,50621262,"","","","",""
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG033900",50399462,50400080,"","","","",""
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG033905",50408149,50408979,"","","","",""
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG033910",50439958,50440176,"","","","LOC_Os02g50430","expressed protein"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG033915",50442165,50442458,"","","","",""
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG033920",50473327,50474184,"","","","",""
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG033925",50488298,50488516,"","","","LOC_Os02g50430","expressed protein"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG033930",50491014,50491269,"","","","",""
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG033935",50506439,50507169,"","","","",""
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG033940",50513207,50513464,"","","","LOC_Os02g50430","expressed protein"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG033945",50526345,50526563,"","","","LOC_Os02g50430","expressed protein"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG033950",50528828,50529112,"","","","",""
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG033955",50531879,50532514,"","","","LOC_Os06g13910","expressed protein"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG033960",50542845,50543063,"","","","LOC_Os02g50430","expressed protein"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG033965",50545151,50545406,"","","","",""
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG033970",50573716,50574000,"","","","",""
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG109500",52263008,52265323,"AT1G09740","","Adenine nucleotide alpha hydrolases-like superfamily protein","LOC_Os02g52314","BTB1 - Bric-a-Brac,Tramtrack, Broad Complex BTB domain, expressed"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG109600",52285373,52293346,"AT2G22540","AGL22,SVP","K-box region and MADS-box transcription factor family protein ","LOC_Os02g52340","OsMADS22 - MADS-box family gene with MIKCc type-box, expressed"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG109700",52293851,52298376,"AT2G15790","CYP40,SQN","peptidyl-prolyl cis-trans isomerase / cyclophilin-40 (CYP40) / rotamase","LOC_Os02g52360","peptidyl-prolyl cis-trans isomerase CYP40, putative, expressed"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG109800",52298579,52303090,"AT4G33945","","ARM repeat superfamily protein","LOC_Os02g52370","armadillo/beta-catenin repeat family protein, putative, expressed"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG109900",52305788,52306987,"AT2G26530","AR781","Protein of unknown function (DUF1645)","LOC_Os02g52380","DUF1645 domain containing protein, putative, expressed"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG110000",52312726,52314284,"AT5G62290","","nucleotide-sensitive chloride conductance regulator (ICln) family protein","LOC_Os03g14520","nucleotide-sensitive chloride conductance regulator containing protein, expressed"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG110100",52314376,52314756,"","","","",""
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG110200",52315216,52326309,"AT3G19170","ATPREP1,ATZNMP,PREP1","presequence protease 1","LOC_Os02g52390","M16 domain containing zinc peptidase, putative, expressed"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG110300",52317147,52319840,"","","","",""
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG110400",52326481,52327240,"","","","",""
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG110500",52327412,52330599,"AT4G33380","","","LOC_Os02g52410","expressed protein"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG110600",52334839,52339693,"AT4G37040","MAP1D","methionine aminopeptidase 1D","LOC_Os02g52420","peptidase, M24 family protein, putative, expressed"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG110700",52339855,52343959,"AT4G39280","","phenylalanyl-tRNA synthetase, putative / phenylalanine--tRNA ligase, putative","LOC_Os10g26130","phenylalanyl-tRNA synthetase, putative, expressed"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG110800",52344338,52347748,"AT2G44270","ROL5","repressor of lrx1","LOC_Os02g52470","ATP-binding domain-containing protein, putative, expressed"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG110813",52354529,52356278,"AT5G48820","ICK6,KRP3","inhibitor/interactor with cyclin-dependent kinase","LOC_Os02g52480","cyclin-dependent kinase inhibitor, putative, expressed"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG110826",52367900,52369180,"AT5G66800","","","LOC_Os02g52490","expressed protein"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG110839",52370561,52394359,"AT3G19210","ATRAD54,CHR25,RAD54","homolog of RAD54","LOC_Os02g52510","SNF2 family N-terminal domain containing protein, expressed"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG110852",52394791,52395698,"AT1G05990","RHS1","EF hand calcium-binding protein family","LOC_Os02g52540","EF hand family protein, putative, expressed"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG110865",52397832,52399570,"AT5G35525","","PLAC8 family protein","LOC_Os02g52550","uncharacterized Cys-rich domain containing protein, putative, expressed"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG110878",52401061,52401904,"","","","",""
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG110891",52439728,52440671,"","","","",""
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG110904",52441621,52445349,"AT2G03220","ATFT1,ATFUT1,FT1,MUR2","fucosyltransferase 1","LOC_Os02g52560","xyloglucan fucosyltransferase, putative, expressed"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG110917",52447951,52456335,"AT2G03220","ATFT1,ATFUT1,FT1,MUR2","fucosyltransferase 1","LOC_Os02g52590","xyloglucan fucosyltransferase, putative, expressed"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG110930",52459281,52461815,"","","","LOC_Os05g26120","expressed protein"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG110943",52473964,52479040,"AT2G03220","ATFT1,ATFUT1,FT1,MUR2","fucosyltransferase 1","LOC_Os02g52610","xyloglucan fucosyltransferase, putative, expressed"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG110956",52518982,52521347,"AT2G03210","ATFUT2,FUT2","fucosyltransferase 2","LOC_Os02g52630","xyloglucan fucosyltransferase, putative, expressed"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG110969",52523291,52526412,"AT2G03220","ATFT1,ATFUT1,FT1,MUR2","fucosyltransferase 1","LOC_Os02g52640","xyloglucan fucosyltransferase, putative, expressed"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG110982",52526131,52528423,"AT1G45474","LHCA5","photosystem I light harvesting complex gene 5","LOC_Os02g52650","chlorophyll A-B binding protein, putative, expressed"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG110995",52536364,52537619,"AT2G33710","","Integrase-type DNA-binding superfamily protein","LOC_Os02g52670","AP2 domain containing protein, expressed"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG111008",52539311,52541368,"AT4G25000","AMY1,ATAMY1","alpha-amylase-like","LOC_Os02g52710","alpha-amylase precursor, putative, expressed"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG111021",52544166,52548809,"AT2G15620","ATHNIR,NIR,NIR1","nitrite reductase 1","LOC_Os01g25484","ferredoxin--nitrite reductase, putative, expressed"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG111034",52549500,52552695,"AT1G45230","","Protein of unknown function (DUF3223)","LOC_Os02g52744","DCL, chloroplast precursor, putative, expressed"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG111047",52565464,52567172,"AT2G15590","","Protein of unknown function (DUF1685)","LOC_Os02g52770","expressed protein"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG111060",52569181,52573762,"AT3G19290","ABF4,AREB2","ABRE binding factor 4","LOC_Os02g52780","bZIP transcription factor, putative, expressed"
"Chr01K","1K@71.78",49327867,54320869,"Cu63","Pavir.1KG111073",52574094,52574833,"","","","",""
